央视频道,#genre#
国学频道,http://113.64.197.107:6633/udp/239.77.0.226:5146
国学频道,http://113.64.197.107:6633/udp/239.77.1.105:5146
天元围棋,http://113.64.197.107:6633/udp/239.253.43.98:5146
延边卫视,http://113.64.197.107:6633/udp/239.77.0.10:5146
延边卫视,http://113.64.197.107:6633/udp/239.77.1.99:5146
广东频道,#genre#
广东珠江,http://113.64.197.107:6633/udp/239.77.0.3:5146
广东珠江,http://113.64.197.107:6633/udp/239.77.1.94:5146
广东珠江,http://113.64.197.107:6633/udp/239.77.0.1:5146
广东珠江,http://113.64.197.107:6633/udp/239.77.0.114:5146
广东珠江,http://119.34.190.113:2911/udp/224.1.100.191:11111
广东珠江,http://119.34.190.113:2911/udp/224.1.100.23:11111
广东珠江,http://119.34.190.113:2911/udp/224.1.100.24:11111
广东新闻,http://113.64.197.107:6633/udp/239.77.0.173:5146
广东新闻,http://113.64.197.107:6633/udp/239.77.0.4:5146
广东新闻,http://119.34.190.113:2911/udp/224.1.100.155:11111
广东新闻,http://119.34.190.113:2911/udp/224.1.100.5:11111
广东经济科教,http://113.64.197.107:6633/udp/239.77.0.85:5146
广东经济科教,http://113.64.197.107:6633/udp/239.77.0.167:5146
广东经济科教,http://119.34.190.113:2911/udp/224.1.100.6:11111
广东经济科教,http://119.34.190.113:2911/udp/224.1.100.158:11111
广东影视,http://113.64.197.107:6633/udp/239.77.0.217:5146
广东影视,http://113.64.197.107:6633/udp/239.77.0.11:5146
广东影视,http://119.34.190.113:2911/udp/224.1.100.11:11111
广东影视,http://119.34.190.113:2911/udp/224.1.100.154:11111
广东少儿,http://113.64.197.107:6633/udp/239.77.0.250:5146
广东少儿,http://113.64.197.107:6633/udp/239.77.0.12:5146
广东少儿,http://119.34.190.113:2911/udp/224.1.100.9:11111
广东少儿,http://119.34.190.113:2911/udp/224.1.100.156:11111
广东民生,http://113.64.197.107:6633/udp/239.77.0.225:5146
广东民生,http://113.64.197.107:6633/udp/239.77.0.5:5146
广东民生,http://119.34.190.113:2911/udp/224.1.100.152:11111
广东民生,http://119.34.190.113:2911/udp/224.1.100.4:11111
广东体育,http://113.64.197.107:6633/udp/239.77.0.112:5146
广东体育,http://113.64.197.107:6633/udp/239.77.0.6:5146
广东体育,http://119.34.190.113:2911/udp/224.1.100.34:11111
广东体育,http://119.34.190.113:2911/udp/224.1.100.33:11111
广东综艺,http://113.64.197.107:6633/udp/239.77.1.237:5146
广东综艺,http://113.64.197.107:6633/udp/239.77.0.244:5146
广东综艺,http://113.64.197.107:6633/udp/239.77.0.245:5146
广东移动,http://113.64.197.107:6633/udp/239.77.0.20:5146
现代教育,http://113.64.197.107:6633/udp/239.77.0.18:5146
岭南戏曲,http://113.64.197.107:6633/udp/239.77.0.122:5146
岭南戏曲,http://113.64.197.107:6633/udp/239.77.0.16:5146
岭南戏曲,http://119.34.190.113:2911/udp/224.1.100.120:11111
岭南戏曲,http://119.34.190.113:2911/udp/224.1.100.157:11111
南方购物,http://113.64.197.107:6633/udp/239.77.0.19:5146
南方购物,http://113.64.197.107:6633/udp/239.77.0.22:5146
南国都市,http://113.64.197.107:6633/udp/239.253.43.99:5146
广州综合,http://113.64.197.107:6633/udp/239.253.43.71:5146
广州综合,http://119.34.190.113:2911/udp/224.1.100.36:11111
广州综合,http://119.34.190.113:2911/udp/224.1.100.35:11111
广州法治,http://113.64.197.107:6633/udp/239.253.43.74:5146
广州法治,http://119.34.190.113:2911/udp/224.1.100.17:11111
广州法治,http://119.34.190.113:2911/udp/224.1.100.18:11111
广州新闻,http://113.64.197.107:6633/udp/239.253.43.72:5146
广州新闻,http://119.34.190.113:2911/udp/224.1.100.37:11111
广州新闻,http://119.34.190.113:2911/udp/224.1.100.38:11111
广州影视,http://113.64.197.107:6633/udp/239.253.43.73:5146
广州影视,http://119.34.190.113:2911/udp/224.1.100.87:11111
广州影视,http://119.34.190.113:2911/udp/224.1.100.88:11111
广州竞赛,http://119.34.190.113:2911/udp/224.1.100.105:11111
广州竞赛,http://119.34.190.113:2911/udp/224.1.100.106:11111
深圳都市,http://113.64.197.107:6633/udp/239.77.1.176:5146
深圳都市,http://113.64.197.107:6633/udp/239.77.1.124:5146
深圳电视剧,http://113.64.197.107:6633/udp/239.77.1.177:5146
深圳电视剧,http://113.64.197.107:6633/udp/239.77.1.125:5146
深圳财经生活,http://113.64.197.107:6633/udp/239.77.1.242:5146
深圳公共,http://113.64.197.107:6633/udp/239.77.1.178:5146
深圳公共,http://113.64.197.107:6633/udp/239.77.1.9:5146
深圳公共,http://113.64.197.107:6633/udp/239.77.1.126:5146
深圳体育健康,http://113.64.197.107:6633/udp/239.77.1.128:5146
深圳体育健康,http://113.64.197.107:6633/udp/239.77.1.140:5146
深圳少儿,http://113.64.197.107:6633/udp/239.77.1.244:5146
深圳少儿,http://113.64.197.107:6633/udp/239.77.1.38:5146
深圳宝安,http://113.64.197.107:6633/udp/239.77.1.67:5146
深圳龙岗,http://113.64.197.107:6633/udp/239.77.1.223:5146
深圳众创TV,http://113.64.197.107:6633/udp/239.77.1.247:5146
深圳移动,http://113.64.197.107:6633/udp/239.77.1.175:5146
深圳宜和购物,http://113.64.197.107:6633/udp/239.77.1.87:5146
惠州1套,http://113.64.197.107:6633/udp/239.77.1.232:5146
惠州2套,http://113.64.197.107:6633/udp/239.77.1.233:5146
东莞新闻综合,http://113.64.197.107:6633/udp/239.253.43.104:5146
东莞生活资讯,http://113.64.197.107:6633/udp/239.253.43.105:5146
